2022-11-23 16:26:40,491 | INFO | logging2.py:39 | this is info
2022-11-23 16:26:40,491 | WARNING | logging2.py:40 | this is warning
2022-11-23 16:27:10,937 | INFO | logging2.py:39 | this is info
2022-11-23 16:27:10,937 | WARNING | logging2.py:40 | this is warning
2022-11-23 16:27:10,937 | ERROR | logging2.py:41 | this is error
2022-11-23 16:27:10,937 | CRITICAL | logging2.py:42 | this is critical
2022-11-23 16:28:50,818 | INFO | logging2.py:39 | this is info
2022-11-23 16:28:50,818 | WARNING | logging2.py:40 | this is warning
2022-11-23 16:28:50,818 | ERROR | logging2.py:41 | this is error
2022-11-23 16:28:50,818 | CRITICAL | logging2.py:42 | this is critical
2022-11-23 16:29:12,298 | WARNING | logging2.py:40 | this is warning
2022-11-23 16:29:12,298 | ERROR | logging2.py:41 | this is error
2022-11-23 16:29:12,298 | CRITICAL | logging2.py:42 | this is critical
2022-11-23 16:29:56,269 | WARNING | logging2.py:41 | this is warning
2022-11-23 16:29:56,269 | ERROR | logging2.py:42 | this is error
2022-11-23 16:29:56,269 | CRITICAL | logging2.py:43 | this is critical
2022-11-23 16:33:48,041 | INFO | logging2.py:40 | this is info
2022-11-23 16:33:48,041 | WARNING | logging2.py:41 | this is warning
2022-11-23 16:33:48,041 | ERROR | logging2.py:42 | this is error
2022-11-23 16:33:48,041 | CRITICAL | logging2.py:43 | this is critical
2022-11-23 16:40:51,368 |     INFO | logging2.py:40 | this is info
2022-11-23 16:40:51,368 |  WARNING | logging2.py:41 | this is warning
2022-11-23 16:40:51,368 |    ERROR | logging2.py:42 | this is error
2022-11-23 16:40:51,368 | CRITICAL | logging2.py:43 | this is critical
2022-11-23 16:42:41,751 | INFO     | logging2.py:40 | this is info
2022-11-23 16:42:41,752 | WARNING  | logging2.py:41 | this is warning
2022-11-23 16:42:41,752 | ERROR    | logging2.py:42 | this is error
2022-11-23 16:42:41,752 | CRITICAL | logging2.py:43 | this is critical
2022-11-23 17:00:22,819 | INFO     | logging2.py:48 | this is info
2022-11-23 17:00:22,820 | WARNING  | logging2.py:49 | this is warning
2022-11-23 17:00:22,820 | ERROR    | logging2.py:50 | this is error
2022-11-23 17:00:22,820 | CRITICAL | logging2.py:51 | this is critical
